2024-01-12 08:46:22 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:22 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:23 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:23 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:24 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:25 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:25 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:26 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:26 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:27 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:27 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:28 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:29 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:29 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:30 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:30 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:31 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:32 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:32 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
2024-01-12 08:46:33 - GPU 0: Used Memory 6765.0MB, Total Memory 16376.0MB, Usage 41.310454323400094%
